product_id,product_title,handle,status,productType,vendor,tags,product_createdAt,product_updatedAt,product_publishedAt,totalInventory,featuredImageUrl,variant_id,variant_title,sku,barcode,price,priceCurrency,compareAtPrice,compareAtPriceCurrency,inventoryQuantity,variant_createdAt,variant_updatedAt
gid://shopify/Product/8492691685547,Ilustracion | Viajando | Laura,ilustracion-viajando-laura,ACTIVE,,My Store,"Ilustracion,Laura,Viajando",2025-08-08T21:57:42Z,2025-08-09T01:38:33Z,2025-08-08T21:57:38Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_f622ce89-b404-4966-8b98-0eba8b3d38b7.png?v=1754690262,gid://shopify/ProductVariant/45502034804907,Default Title,ilustracion-viajando-laura-,,980000.00,COP,,COP,1,2025-08-08T21:57:42Z,2025-08-08T21:57:42Z
gid://shopify/Product/8492691751083,Ilustracion | Viajando | OH!,ilustracion-viajando-oh,ACTIVE,,My Store,"Ilustracion,OH!,Viajando",2025-08-08T21:57:46Z,2025-08-09T01:38:33Z,2025-08-08T21:57:43Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_534fa522-8590-41b5-85c4-dfa82cf8631b.png?v=1754690267,gid://shopify/ProductVariant/45502034870443,Default Title,ilustracion-viajando-oh!-,,1148000.00,COP,,COP,1,2025-08-08T21:57:47Z,2025-08-08T21:57:47Z
gid://shopify/Product/8492691783851,Ilustracion | Viajando | Celeste,ilustracion-viajando-celeste,ACTIVE,,My Store,"Celeste,Ilustracion,Viajando",2025-08-08T21:57:52Z,2025-08-09T01:38:33Z,2025-08-08T21:57:48Z,0,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_097a5845-daeb-41a5-8a37-36067dcd2943.png?v=1754690272,gid://shopify/ProductVariant/45502034903211,Default Title,ilustracion-viajando-celeste-,,600000.00,COP,,COP,0,2025-08-08T21:57:52Z,2025-08-08T21:57:52Z
gid://shopify/Product/8492691816619,Ilustracion | Viajando | Onion Head,ilustracion-viajando-onion-head,ACTIVE,,My Store,"Ilustracion,Onion Head,Viajando",2025-08-08T21:57:57Z,2025-08-09T01:38:33Z,2025-08-08T21:57:53Z,0,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_9c3e2ec7-e2bb-486e-8ba8-13601d2b788c.png?v=1754690277,gid://shopify/ProductVariant/45502034935979,Default Title,ilustracion-viajando-onion head-,,600000.00,COP,,COP,0,2025-08-08T21:57:57Z,2025-08-08T21:57:57Z
gid://shopify/Product/8492691849387,Ilustracion | Viajando | Audition,ilustracion-viajando-audition,ACTIVE,,My Store,"Audition,Ilustracion,Viajando",2025-08-08T21:58:01Z,2025-08-09T01:38:33Z,2025-08-08T21:57:58Z,0,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_e72ffcf2-fedb-4349-894a-3e56ab972cb4.png?v=1754690282,gid://shopify/ProductVariant/45502034968747,Default Title,ilustracion-viajando-audition-,,950000.00,COP,,COP,0,2025-08-08T21:58:02Z,2025-08-08T21:58:02Z
gid://shopify/Product/8492691980459,Ilustracion | Viajando | Sara Needs a Coffee,ilustracion-viajando-sara-needs-a-coffee,ACTIVE,,My Store,"Ilustracion,Sara Needs a Coffee,Viajando",2025-08-08T21:58:06Z,2025-08-09T01:38:33Z,2025-08-08T21:58:03Z,0,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_c74b45b5-8183-4baa-b119-d60d53104dff.png?v=1754690286,gid://shopify/ProductVariant/45502035198123,Default Title,ilustracion-viajando-sara needs a coffee-,,1040000.00,COP,,COP,0,2025-08-08T21:58:07Z,2025-08-08T21:58:07Z
gid://shopify/Product/8492692013227,Ilustracion | Viajando | Lili,ilustracion-viajando-lili,ACTIVE,,My Store,"Ilustracion,Lili,Viajando",2025-08-08T21:58:11Z,2025-08-09T01:38:33Z,2025-08-08T21:58:08Z,0,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_e3a51967-b33b-43f7-853b-4282e5d49caf.png?v=1754690291,gid://shopify/ProductVariant/45502035230891,Default Title,ilustracion-viajando-lili-,,975000.00,COP,,COP,0,2025-08-08T21:58:11Z,2025-08-08T21:58:11Z
gid://shopify/Product/8492692045995,Ilustracion | Viajando | Ginger,ilustracion-viajando-ginger,ACTIVE,,My Store,"Ginger,Ilustracion,Viajando",2025-08-08T21:58:16Z,2025-08-09T01:38:33Z,2025-08-08T21:58:13Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_b12d133c-9ae1-41de-83d3-8080a6901ec7.png?v=1754690296,gid://shopify/ProductVariant/45502035263659,Default Title,ilustracion-viajando-ginger-,,1016900.00,COP,,COP,1,2025-08-08T21:58:16Z,2025-08-08T21:58:16Z
gid://shopify/Product/8492692078763,Ilustracion | Viajando | Fancy Girl,ilustracion-viajando-fancy-girl,ACTIVE,,My Store,"Fancy Girl,Ilustracion,Viajando",2025-08-08T21:58:21Z,2025-08-09T01:38:33Z,2025-08-08T21:58:17Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_36cea480-ca29-44ca-b06d-334b2cb3cba1.png?v=1754690301,gid://shopify/ProductVariant/45502035296427,Default Title,ilustracion-viajando-fancy girl-,,980000.00,COP,,COP,1,2025-08-08T21:58:21Z,2025-08-08T21:58:21Z
gid://shopify/Product/8492692111531,Ilustracion | Viajando | Long Neck,ilustracion-viajando-long-neck,ACTIVE,,My Store,"Ilustracion,Long Neck,Viajando",2025-08-08T21:58:27Z,2025-08-09T01:38:33Z,2025-08-08T21:58:23Z,1,https://cdn.shopify.com/s/files/1/0717/1342/3531/files/download_a4091214-3757-4d88-9106-8dbed844c84b.png?v=1754690307,gid://shopify/ProductVariant/45502035329195,Default Title,ilustracion-viajando-long neck-,,1059500.00,COP,,COP,1,2025-08-08T21:58:27Z,2025-08-08T21:58:27Z
